"Date","Value"
2014-02-12,235.356
2014-02-13,235.356
2014-02-14,235.356
2014-02-18,235.356
2014-02-19,235.356
2014-02-20,235.356
2014-02-21,235.356
2014-02-24,235.356
2014-02-25,235.356
2014-02-26,235.356
2014-02-27,235.356
2014-02-28,235.356
2014-03-03,235.79
2014-03-04,235.79
2014-03-05,235.79
2014-03-06,235.79
2014-03-07,235.79
2014-03-10,235.79
2014-03-11,235.79
2014-03-12,235.79
2014-03-13,235.79
2014-03-14,235.79
2014-03-17,235.79
2014-03-18,235.79
2014-03-19,235.79
2014-03-20,235.79
2014-03-21,235.79
2014-03-24,235.79
2014-03-25,235.79
2014-03-26,235.79
2014-03-27,235.79
2014-03-28,235.79
2014-03-31,235.79
2014-04-01,236.24
2014-04-02,236.24
2014-04-03,236.24
2014-04-04,236.24
2014-04-07,236.24
2014-04-08,236.24
2014-04-09,236.24
2014-04-10,236.24
2014-04-11,236.24
2014-04-14,236.24
2014-04-15,236.24
2014-04-16,236.24
2014-04-17,236.24
2014-04-21,236.24
2014-04-22,236.24
2014-04-23,236.24
2014-04-24,236.24
2014-04-25,236.24
2014-04-28,236.24
2014-04-29,236.24
2014-04-30,236.24
2014-05-01,236.95
2014-05-02,236.95
2014-05-05,236.95
2014-05-06,236.95
2014-05-07,236.95
2014-05-08,236.95
2014-05-09,236.95
2014-05-12,236.95
2014-05-13,236.95
2014-05-14,236.95
2014-05-15,236.95
2014-05-16,236.95
2014-05-19,236.95
2014-05-20,236.95
2014-05-21,236.95
2014-05-22,236.95
2014-05-23,236.95
2014-05-27,236.95
2014-05-28,236.95
2014-05-29,236.95
2014-05-30,236.95
2014-06-02,237.348
2014-06-03,237.348
2014-06-04,237.348
2014-06-05,237.348
2014-06-06,237.348
2014-06-09,237.348
2014-06-10,237.348
2014-06-11,237.348
2014-06-12,237.348
2014-06-13,237.348
2014-06-16,237.348
2014-06-17,237.348
2014-06-18,237.348
2014-06-19,237.348
2014-06-20,237.348
2014-06-23,237.348
2014-06-24,237.348
2014-06-25,237.348
2014-06-26,237.348
2014-06-27,237.348
2014-06-30,237.348
2014-07-01,237.596
2014-07-02,237.596
2014-07-03,237.596
2014-07-07,237.596
2014-07-08,237.596
2014-07-09,237.596
2014-07-10,237.596
2014-07-11,237.596
2014-07-14,237.596
2014-07-15,237.596
2014-07-16,237.596
2014-07-17,237.596
2014-07-18,237.596
2014-07-21,237.596
2014-07-22,237.596
2014-07-23,237.596
2014-07-24,237.596
2014-07-25,237.596
2014-07-28,237.596
2014-07-29,237.596
2014-07-30,237.596
2014-07-31,237.596
2014-08-01,237.409
2014-08-04,237.409
2014-08-05,237.409
2014-08-06,237.409
2014-08-07,237.409
2014-08-08,237.409
2014-08-11,237.409
2014-08-12,237.409
2014-08-13,237.409
2014-08-14,237.409
2014-08-15,237.409
2014-08-18,237.409
2014-08-19,237.409
2014-08-20,237.409
2014-08-21,237.409
2014-08-22,237.409
2014-08-25,237.409
2014-08-26,237.409
2014-08-27,237.409
2014-08-28,237.409
2014-08-29,237.409
2014-09-02,237.626
2014-09-03,237.626
2014-09-04,237.626
2014-09-05,237.626
2014-09-08,237.626
2014-09-09,237.626
2014-09-10,237.626
2014-09-11,237.626
2014-09-12,237.626
2014-09-15,237.626
2014-09-16,237.626
2014-09-17,237.626
2014-09-18,237.626
2014-09-19,237.626
2014-09-22,237.626
2014-09-23,237.626
2014-09-24,237.626
2014-09-25,237.626
2014-09-26,237.626
2014-09-29,237.626
2014-09-30,237.626
2014-10-01,237.753
2014-10-02,237.753
2014-10-03,237.753
2014-10-06,237.753
2014-10-07,237.753
2014-10-08,237.753
2014-10-09,237.753
2014-10-10,237.753
2014-10-13,237.753
2014-10-14,237.753
2014-10-15,237.753
2014-10-16,237.753
2014-10-17,237.753
2014-10-20,237.753
2014-10-21,237.753
2014-10-22,237.753
2014-10-23,237.753
2014-10-24,237.753
2014-10-27,237.753
2014-10-28,237.753
2014-10-29,237.753
2014-10-30,237.753
2014-10-31,237.753
2014-11-03,237.067
2014-11-04,237.067
2014-11-05,237.067
2014-11-06,237.067
2014-11-07,237.067
2014-11-10,237.067
2014-11-11,237.067
2014-11-12,237.067
2014-11-13,237.067
2014-11-14,237.067
2014-11-17,237.067
2014-11-18,237.067
2014-11-19,237.067
2014-11-20,237.067
2014-11-21,237.067
2014-11-24,237.067
2014-11-25,237.067
2014-11-26,237.067
2014-11-28,237.067
2014-12-01,236.284
2014-12-02,236.284
2014-12-03,236.284
2014-12-04,236.284
2014-12-05,236.284
2014-12-08,236.284
2014-12-09,236.284
2014-12-10,236.284
2014-12-11,236.284
2014-12-12,236.284
2014-12-15,236.284
2014-12-16,236.284
2014-12-17,236.284
2014-12-18,236.284
2014-12-19,236.284
2014-12-22,236.284
2014-12-23,236.284
2014-12-24,236.284
2014-12-26,236.284
2014-12-29,236.284
2014-12-30,236.284
2014-12-31,236.284
2015-01-02,234.677
2015-01-05,234.677
2015-01-06,234.677
2015-01-07,234.677
2015-01-08,234.677
2015-01-09,234.677
2015-01-12,234.677
2015-01-13,234.677
2015-01-14,234.677
2015-01-15,234.677
